pip_value estimasi: 1.0 (override dengan --pipval)

Backtest: XAUUSD | step=4 | trail=OFF
CSV: ../data/XAUUSD_GMT+0_NO-DST_M15.csv
  132,634 candle M15 | 2020-01-01 23:00:00 s/d 2025-08-11 23:45:00
Estimasi 33,096 iterasi sinyal. Ini mungkin butuh beberapa menit...

Resampling ke H4 dan D1... H4=8,974 bars | D1=1,743 bars
   77.3% | bar=102,542/132,634 | trades=810 | equity=$2,762.02 | ETA=3.3min
   77.8% | bar=103,302/132,634 | trades=820 | equity=$2,754.66 | ETA=3.2min
   77.9% | bar=103,358/132,634 | trades=820 | equity=$2,754.66 | ETA=3.2min
   77.9% | bar=103,362/132,634 | trades=820 | equity=$2,754.66 | ETA=3.2min
   78.2% | bar=103,818/132,634 | trades=830 | equity=$2,822.43 | ETA=3.1min
   78.2% | bar=103,822/132,634 | trades=830 | equity=$2,822.43 | ETA=3.1min
   78.2% | bar=103,826/132,634 | trades=830 | equity=$2,822.43 | ETA=3.1min
   78.2% | bar=103,834/132,634 | trades=830 | equity=$2,822.43 | ETA=3.1min
   78.4% | bar=103,990/132,634 | trades=830 | equity=$2,822.43 | ETA=3.1min
   78.9% | bar=104,718/132,634 | trades=840 | equity=$2,830.21 | ETA=3.0min
   79.6% | bar=105,670/132,634 | trades=850 | equity=$2,868.26 | ETA=2.9min
   79.6% | bar=105,674/132,634 | trades=850 | equity=$2,868.26 | ETA=2.9min
   79.6% | bar=105,678/132,634 | trades=850 | equity=$2,868.26 | ETA=2.9min
   79.6% | bar=105,682/132,634 | trades=850 | equity=$2,868.26 | ETA=2.9min
   79.7% | bar=105,738/132,634 | trades=850 | equity=$2,868.26 | ETA=2.9min
   79.7% | bar=105,742/132,634 | trades=850 | equity=$2,868.26 | ETA=2.9min
   80.2% | bar=106,426/132,634 | trades=860 | equity=$2,890.78 | ETA=2.8min
   80.2% | bar=106,430/132,634 | trades=860 | equity=$2,890.78 | ETA=2.8min
   80.2% | bar=106,470/132,634 | trades=860 | equity=$2,890.78 | ETA=2.8min
   80.2% | bar=106,474/132,634 | trades=860 | equity=$2,890.78 | ETA=2.8min
   80.3% | bar=106,498/132,634 | trades=860 | equity=$2,890.78 | ETA=2.8min
   80.3% | bar=106,502/132,634 | trades=860 | equity=$2,890.78 | ETA=2.8min
   80.9% | bar=107,322/132,634 | trades=870 | equity=$2,978.32 | ETA=2.7min
   81.5% | bar=108,086/132,634 | trades=880 | equity=$3,017.79 | ETA=2.6min
   81.9% | bar=108,722/132,634 | trades=890 | equity=$3,036.70 | ETA=2.6min
   82.7% | bar=109,770/132,634 | trades=900 | equity=$3,096.07 | ETA=2.5min
   83.5% | bar=110,802/132,634 | trades=910 | equity=$3,059.88 | ETA=2.4min
   83.5% | bar=110,806/132,634 | trades=910 | equity=$3,059.88 | ETA=2.4min
   83.5% | bar=110,810/132,634 | trades=910 | equity=$3,059.88 | ETA=2.4min
   83.5% | bar=110,814/132,634 | trades=910 | equity=$3,059.88 | ETA=2.4min
   83.5% | bar=110,818/132,634 | trades=910 | equity=$3,059.88 | ETA=2.4min
   83.5% | bar=110,826/132,634 | trades=910 | equity=$3,059.88 | ETA=2.4min
   83.6% | bar=110,894/132,634 | trades=910 | equity=$3,059.88 | ETA=2.3min
   83.6% | bar=110,898/132,634 | trades=910 | equity=$3,059.88 | ETA=2.3min
   83.6% | bar=110,902/132,634 | trades=910 | equity=$3,059.88 | ETA=2.3min
   83.6% | bar=110,906/132,634 | trades=910 | equity=$3,059.88 | ETA=2.3min
   83.6% | bar=110,962/132,634 | trades=910 | equity=$3,059.88 | ETA=2.3min
   84.1% | bar=111,550/132,634 | trades=920 | equity=$3,048.64 | ETA=2.3min
   84.1% | bar=111,554/132,634 | trades=920 | equity=$3,048.64 | ETA=2.3min
   84.1% | bar=111,558/132,634 | trades=920 | equity=$3,048.64 | ETA=2.3min
   84.1% | bar=111,562/132,634 | trades=920 | equity=$3,048.64 | ETA=2.3min
   84.1% | bar=111,566/132,634 | trades=920 | equity=$3,048.64 | ETA=2.3min
   84.1% | bar=111,578/132,634 | trades=920 | equity=$3,048.64 | ETA=2.3min
   84.1% | bar=111,582/132,634 | trades=920 | equity=$3,048.64 | ETA=2.3min
   84.1% | bar=111,586/132,634 | trades=920 | equity=$3,048.64 | ETA=2.3min
   84.1% | bar=111,590/132,634 | trades=920 | equity=$3,048.64 | ETA=2.3min
   84.1% | bar=111,626/132,634 | trades=920 | equity=$3,048.64 | ETA=2.3min
   84.2% | bar=111,686/132,634 | trades=920 | equity=$3,048.64 | ETA=2.3min
   84.6% | bar=112,218/132,634 | trades=930 | equity=$3,063.84 | ETA=2.2min
   84.9% | bar=112,694/132,634 | trades=940 | equity=$3,053.87 | ETA=2.2min
   85.2% | bar=113,010/132,634 | trades=950 | equity=$3,017.58 | ETA=2.1min
   85.7% | bar=113,646/132,634 | trades=960 | equity=$3,061.53 | ETA=2.0min
   85.7% | bar=113,650/132,634 | trades=960 | equity=$3,061.53 | ETA=2.0min
